objectid,filename,title,format,description,creator,subject,rightsstatement,source,type,latitude,longitude
GIB001000032001,https://archive.org/download/GIB001000032001/GIB001000032001.jpg,Exbridge NR Dulverton - Parabola Arches,image/jpeg,In envelope titled: Exbridge Nr Dulverton - Arch Bridge.,"Gibson, Adrian, 1931-2006",industrial,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,51.009562,-3.5267858
GIB001000032002,https://archive.org/download/GIB001000032002/GIB001000032002.jpg,Exbridge NR Dulverton - Parabola,image/jpeg,In envelope titled: Exbridge Nr Dulverton - Arch Bridge.,"Gibson, Adrian, 1931-2006",industrial,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,51.009562,-3.5267858
GIB001000067005,https://archive.org/download/GIB001000067005/GIB001000067005.JPG,Valle Crucis Abbey W. [West] Front,image/jpeg,In envelope titled: Valle Crucis [Abbey].,"Gibson, Adrian, 1931-2006",religious,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,52.988689,-3.1867857
GIB001000067010,https://archive.org/download/GIB001000067010/GIB001000067010.JPG,Valle Crucis Abbey Chapel No Undercroft,image/jpeg,In envelope titled: Valle Crucis [Abbey].,"Gibson, Adrian, 1931-2006",religious,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,52.988689,-3.1867857
GIB001000067012,https://archive.org/download/GIB001000067012/GIB001000067012.JPG,Valle Crucis Abbey from S.W,image/jpeg,In envelope titled: Valle Crucis [Abbey].,"Gibson, Adrian, 1931-2006",religious,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,52.988689,-3.1867857
GIB001000067014,https://archive.org/download/GIB001000067014/GIB001000067014.JPG,Valle Crucis Abbey Chapter House Door + Book Recess,image/jpeg,In envelope titled: Valle Crucis [Abbey].,"Gibson, Adrian, 1931-2006",religious,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,52.988689,-3.1867857
GIB001000067015,https://archive.org/download/GIB001000067015/GIB001000067015.JPG,Valle Crucis Abbey Capitals,image/jpeg,In envelope titled: Valle Crucis [Abbey].,"Gibson, Adrian, 1931-2006",religious,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,52.988689,-3.1867857
GIB001000087003,https://archive.org/download/GIB001000087003/GIB001000087003.jpg,Blythburgh CH Angel,image/jpeg,In envelope titled: Blythburgh.,"Gibson, Adrian, 1931-2006",religious,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,52.321264,1.5949603
GIB001000087005,https://archive.org/download/GIB001000087005/GIB001000087005.jpg,Blythburgh CH Buttress,image/jpeg,In envelope titled: Blythburgh.,"Gibson, Adrian, 1931-2006",religious,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,52.321264,1.5949603
GIB001000087007,https://archive.org/download/GIB001000087007/GIB001000087007.jpg,Blythburgh Masons Mark,image/jpeg,In envelope titled: Blythburgh.,"Gibson, Adrian, 1931-2006",religious,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,52.321264,1.5949603
GIB001000087011,https://archive.org/download/GIB001000087011/GIB001000087011.jpg,Blythburgh CH S. Side,image/jpeg,In envelope titled: Blythburgh.,"Gibson, Adrian, 1931-2006",religious,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,52.321264,1.5949603
GIB001000087013,https://archive.org/download/GIB001000087013/GIB001000087013.jpg,Blythburgh CH Roof,image/jpeg,In envelope titled: Blythburgh.,"Gibson, Adrian, 1931-2006",religious,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,52.321264,1.5949603
GIB001000089004,https://archive.org/download/GIB001000089004/GIB001000089004.JPG,Tintern S.transept Abbey W.side,image/jpeg,In envelope titled: Tintern Abbey '92.,"Gibson, Adrian, 1931-2006",religious,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,51.696966,-2.6766962
GIB001000089007,https://archive.org/download/GIB001000089007/GIB001000089007.JPG,Tintern Abbey C14 Door Dec+Deep,image/jpeg,In envelope titled: Tintern Abbey '92.,"Gibson, Adrian, 1931-2006",religious,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,51.696966,-2.6766962
GIB001000089009,https://archive.org/download/GIB001000089009/GIB001000089009.JPG,Tintern Abbey Warming Room Fireplace,image/jpeg,In envelope titled: Tintern Abbey '92.,"Gibson, Adrian, 1931-2006",religious,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,51.696966,-2.6766962
GIB001000089010,https://archive.org/download/GIB001000089010/GIB001000089010.JPG,Tintern Abbey from S,image/jpeg,In envelope titled: Tintern Abbey '92.,"Gibson, Adrian, 1931-2006",religious,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,51.696966,-2.6766962
GIB001000089011,https://archive.org/download/GIB001000089011/GIB001000089011.JPG,Tintern Abbey E windows Int.,image/jpeg,In envelope titled: Tintern Abbey '92.,"Gibson, Adrian, 1931-2006",religious,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,51.696966,-2.6766962
GIB002000006001,https://archive.org/download/GIB002000006001/GIB002000006001.JPG,"Reigate Stn. [Stone] Mine, 30ft shaft base",image/jpeg,In envelope titled: Reigate Quarry Mertsham [St Katharines Church].,"Gibson, Adrian, 1931-2006",industrial,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,,
GIB002000006003,https://archive.org/download/GIB002000006003/GIB002000006003.JPG,"Reigate Stn. Mine, Mersham Gallery",image/jpeg,In envelope titled: Reigate Quarry Mertsham [St Katharines Church].,"Gibson, Adrian, 1931-2006",industrial,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,,
GIB002000006005,https://archive.org/download/GIB002000006005/GIB002000006005.JPG,Reigate Mine Mertsham EH Core Site,image/jpeg,In envelope titled: Reigate Quarry Mertsham [St Katharines Church].,"Gibson, Adrian, 1931-2006",industrial,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,,
GIB002000006008,https://archive.org/download/GIB002000006008/GIB002000006008.JPG,Mertsham- Quarry Rail Track Reigate stone,image/jpeg,In envelope titled: Reigate Quarry Mertsham [St Katharines Church].,"Gibson, Adrian, 1931-2006",industrial,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,,
GIB002000006010,https://archive.org/download/GIB002000006010/GIB002000006010.JPG,Mertsham - Reigate Stone shaft head 2001,image/jpeg,In envelope titled: Reigate Quarry Mertsham [St Katharines Church].,"Gibson, Adrian, 1931-2006",industrial,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,,
GIB003000009002,https://archive.org/download/GIB003000009002/GIB003000009002.jpg,Copford Church Wall Detail,image/jpeg,In envelope titled: [St Michaels and All Angels Church] Copford Church.,"Gibson, Adrian, 1931-2006",religious,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,51.869296,0.80921441
GIB003000009003,https://archive.org/download/GIB003000009003/GIB003000009003.jpg,Copford Ch. Apse from E.,image/jpeg,In envelope titled: [St Michaels and All Angels Church] Copford Church.,"Gibson, Adrian, 1931-2006",religious,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,51.869296,0.80921441
GIB003000009007,https://archive.org/download/GIB003000009007/GIB003000009007.jpg,Copford Ch N.Door,image/jpeg,In envelope titled: [St Michaels and All Angels Church] Copford Church.,"Gibson, Adrian, 1931-2006",religious,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,51.869296,0.80921441
GIB003000009011,https://archive.org/download/GIB003000009011/GIB003000009011.jpg,Copford ch W.end,image/jpeg,In envelope titled: [St Michaels and All Angels Church] Copford Church.,"Gibson, Adrian, 1931-2006",religious,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,51.869296,0.80921441
GIB003000009017,https://archive.org/download/GIB003000009017/GIB003000009017.jpg,Copford Ch Gen Int Nave - Apse,image/jpeg,In envelope titled: [St Michaels and All Angels Church] Copford Church.,"Gibson, Adrian, 1931-2006",religious,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,51.869296,0.80921441
GIB003000079006,https://archive.org/download/GIB003000079006/GIB003000079006.JPG,Priors Hall Fm Widdington Crown Post Roof E of Stack,image/jpeg,In envelope titled: Priors Hall Widd.[widdington] + A/S.,"Gibson, Adrian, 1931-2006",agricultural,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,51.963026,0.23612291
GIB003000079010,https://archive.org/download/GIB003000079010/GIB003000079010.JPG,Priors Hall Fm Widdington,image/jpeg,In envelope titled: Priors Hall Widd.[widdington] + A/S.,"Gibson, Adrian, 1931-2006",agricultural,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,51.963026,0.23612291
GIB003000079013,https://archive.org/download/GIB003000079013/GIB003000079013.JPG,Priors Hall Fm A/S Chancel Arch,image/jpeg,In envelope titled: Priors Hall Widd.[widdington] + A/S.,"Gibson, Adrian, 1931-2006",agricultural,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,51.963026,0.23612291
GIB003000079014,https://archive.org/download/GIB003000079014/GIB003000079014.JPG,Priors Hall Fm Cover Chancel Arch,image/jpeg,In envelope titled: Priors Hall Widd.[widdington] + A/S.,"Gibson, Adrian, 1931-2006",agricultural,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,51.963026,0.23612291
GIB003000079016,https://archive.org/download/GIB003000079016/GIB003000079016.JPG,Priors Hall Widd. 'Church' / Ho Roof - W end,image/jpeg,In envelope titled: Priors Hall Widd.[widdington] + A/S.,"Gibson, Adrian, 1931-2006",agricultural,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,51.963026,0.23612291
GIB005000023001,https://ia802603.us.archive.org/16/items/GIB005000023001/GIB005000030001.jpg,Bury C12 GT.Twr Back,image/jpeg,In envelope titled: Bury St Eds [Edmunds].,"Gibson, Adrian, 1931-2006",defensive,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,52.243597,0.71667284
GIB005000023006,https://archive.org/download/GIB005000023006/GIB005000023006.jpg,Bury St E Norman Gate,image/jpeg,In envelope titled: Bury St Eds [Edmunds].,"Gibson, Adrian, 1931-2006",defensive,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,52.243597,0.71667284
GIB005000023007,https://archive.org/download/GIB005000023007/GIB005000023007.jpg,Bury Gate Ho. Dec.,image/jpeg,In envelope titled: Bury St Eds [Edmunds].,"Gibson, Adrian, 1931-2006",defensive,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,52.244884,0.71628124
GIB005000023011,https://archive.org/download/GIB005000023011/GIB005000023011.jpg,Bury St Edmunds Norman Tower,image/jpeg,In envelope titled: Bury St Eds [Edmunds].,"Gibson, Adrian, 1931-2006",defensive,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,52.243597,0.71667284
GIB005000023013,https://archive.org/download/GIB005000023013/GIB005000023013.jpg,Bury St Edmunds Belfry Frame Norman Twr,image/jpeg,In envelope titled: Bury St Eds [Edmunds].,"Gibson, Adrian, 1931-2006",defensive,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,52.243597,0.71667284
GIB005000030001,https://archive.org/download/GIB005000030001/GIB005000030001.jpg,Clipsham Fossil,image/jpeg,In envelope titled: Cupsham Stone Quarry.,"Gibson, Adrian, 1931-2006",archaeology,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,52.723643,-0.56226611
GIB005000030002,https://archive.org/download/GIB005000030002/GIB005000030002.jpg,Clipsham Geology,image/jpeg,In envelope titled: Cupsham Stone Quarry.,"Gibson, Adrian, 1931-2006",archaeology,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,52.723643,-0.56226611
GIB005000030003,https://archive.org/download/GIB005000030003/GIB005000030003.jpg,Clipsham Cracked St Bedding,image/jpeg,In envelope titled: Cupsham Stone Quarry.,"Gibson, Adrian, 1931-2006",archaeology,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,52.723643,-0.56226611
GIB005000030005,https://archive.org/download/GIB005000030005/GIB005000030005.jpg,Clipsham Pit Section,image/jpeg,In envelope titled: Cupsham Stone Quarry.,"Gibson, Adrian, 1931-2006",archaeology,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,52.723643,-0.56226611
GIB005000030007,https://archive.org/download/GIB005000030007/GIB005000030007.jpg,Clipsham - Wedge + Feathers,image/jpeg,In envelope titled: Cupsham Stone Quarry.,"Gibson, Adrian, 1931-2006",archaeology,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,52.723643,-0.56226611
GIB006001004001,https://archive.org/download/GIB006001004001/GIB006001004001.JPG,Grimsthorpe Vanburgh Front 1,image/jpeg,In envelope titled: [Grimsthorpe Vanburgh].,"Gibson, Adrian, 1931-2006",stately home,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,52.792477,-0.45241892
GIB006001004002,https://archive.org/download/GIB006001004002/GIB006001004002.JPG,Grimsthorpe Pavilion + House Vanburgh,image/jpeg,In envelope titled: [Grimsthorpe Vanburgh].,"Gibson, Adrian, 1931-2006",stately home,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,52.792477,-0.45241892
GIB006001004003,https://archive.org/download/GIB006001004003/GIB006001004003.JPG,Grimsthrope Rear. King John's Tower - LC13 + Charles Brandon Brandon Made Court Yard Ho.,image/jpeg,In envelope titled: [Grimsthorpe Vanburgh].,"Gibson, Adrian, 1931-2006",stately home,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,52.792477,-0.45241892
GIB006001004004,https://archive.org/download/GIB006001004004/GIB006001004004.JPG,Grimsthorpe Vanburgh Front 2,image/jpeg,In envelope titled: [Grimsthorpe Vanburgh].,"Gibson, Adrian, 1931-2006",stately home,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,52.792477,-0.45241892
GIB006002002001,https://archive.org/download/GIB006002002001/GIB006002002001.JPG,Griggs Bridge 73 Heated Apsed Niche,image/jpeg,In envelope titled: [Griggs Bridge].,"Gibson, Adrian, 1931-2006",archaeology,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,51.900268,0.020779073
GIB006002002002,https://archive.org/download/GIB006002002002/GIB006002002002.JPG,Griggs Bridge 73 General View Along the Bath Suite,image/jpeg,In envelope titled: [Griggs Bridge].,"Gibson, Adrian, 1931-2006",archaeology,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,51.900268,0.020779073
GIB006002002004,https://archive.org/download/GIB006002002004/GIB006002002004.JPG,Griggs Bridge 73 Long Room + Niche (Both Heated),image/jpeg,In envelope titled: [Griggs Bridge].,"Gibson, Adrian, 1931-2006",archaeology,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,51.900268,0.020779073
GIB006002002007,https://archive.org/download/GIB006002002007/GIB006002002007.JPG,Griggs Briggs Curved Edge of Belgic but,image/jpeg,In envelope titled: [Griggs Bridge].,"Gibson, Adrian, 1931-2006",archaeology,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,51.900268,0.020779073
GIB006002002008,https://archive.org/download/GIB006002002008/GIB006002002008.JPG,Griggs Bridge 73 Marking outline on Foundation on offset where tufa block wall sat on flint + mortar footing,image/jpeg,In envelope titled: [Griggs Bridge].,"Gibson, Adrian, 1931-2006",archaeology,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,51.900268,0.020779073
GIB006002003002,https://archive.org/download/GIB006002003002/GIB006002003002.jpg,Braughing cremation group from Rive + site,image/jpeg,In envelope titled: [Braughing].,"Gibson, Adrian, 1931-2006",archaeology,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,51.896627,0.019405782
GIB006002003003,https://archive.org/download/GIB006002003003/GIB006002003003.jpg,Braughing 69 Brick Feature,image/jpeg,In envelope titled: [Braughing].,"Gibson, Adrian, 1931-2006",archaeology,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,51.896627,0.019405782
GIB006002003004,https://archive.org/download/GIB006002003004/GIB006002003004.jpg,Braughing River Section 68 - Cross Walls?,image/jpeg,In envelope titled: [Braughing].,"Gibson, Adrian, 1931-2006",archaeology,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,51.896627,0.019405782
GIB006002003005,https://archive.org/download/GIB006002003005/GIB006002003005.jpg,Braughing 69,image/jpeg,In envelope titled: [Braughing].,"Gibson, Adrian, 1931-2006",archaeology,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,51.896627,0.019405782
GIB006002003006,https://archive.org/download/GIB006002003006/GIB006002003006.jpg,Braughing -Deep Pit Skeleton Green,image/jpeg,In envelope titled: [Braughing].,"Gibson, Adrian, 1931-2006",archaeology,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,51.896627,0.019405782
GIB006003001001,https://archive.org/download/GIB006003001001/GIB006003001001.JPG,Pevensey - Walling,image/jpeg,In envelope titled: [Pevensey castle].,"Gibson, Adrian, 1931-2006",defensive,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,50.819139,0.33412546
GIB006003001002,https://archive.org/download/GIB006003001002/GIB006003001002.JPG,Pevensey Walling Base Stones + Break,image/jpeg,In envelope titled: [Pevensey castle].,"Gibson, Adrian, 1931-2006",defensive,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,50.819139,0.33412546
GIB006003001003,https://archive.org/download/GIB006003001003/GIB006003001003.JPG,Pevensey Basestones Roman/Norm Wall,image/jpeg,In envelope titled: [Pevensey castle].,"Gibson, Adrian, 1931-2006",defensive,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,50.819139,0.33412546
GIB006007003001,https://archive.org/download/GIB006007003001/GIB006007003001.JPG,Griggs Briggs Hypocaust. System,image/jpeg,In envelope titled: [Griggs Bridge].,"Gibson, Adrian, 1931-2006",archaeology,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,51.900268,0.020779073
GIB006007003003,https://archive.org/download/GIB006007003003/GIB006007003003.JPG,"Griggs Briggs Hypocaust Arches, Stole Hole + Sheds + C4 Drain",image/jpeg,In envelope titled: [Griggs Bridge].,"Gibson, Adrian, 1931-2006",archaeology,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,51.900268,0.020779073
GIB006007003004,https://archive.org/download/GIB006007003004/GIB006007003004.JPG,Griggs Bridge 73 Early Features in Chalk Surface,image/jpeg,In envelope titled: [Griggs Bridge].,"Gibson, Adrian, 1931-2006",archaeology,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,51.900268,0.020779073
GIB006007003005,https://archive.org/download/GIB006007003005/GIB006007003005.JPG,Griggs Bridge 73 Long Rooms + Earlier Surface,image/jpeg,In envelope titled: [Griggs Bridge].,"Gibson, Adrian, 1931-2006",archaeology,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,51.900268,0.020779073
GIB006007003006,https://archive.org/download/GIB006007003006/GIB006007003006.JPG,Griggs Bridge 73 Features in chalk Surface - Pre Bath,image/jpeg,In envelope titled: [Griggs Bridge].,"Gibson, Adrian, 1931-2006",archaeology,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,51.900268,0.020779073
GIB006007004001,https://archive.org/download/GIB006007004001/GIB006007004001.jpg,Box Burial Sk. Grn,image/jpeg,In envelope titled: [SK.GRN].,"Gibson, Adrian, 1931-2006",archaeology,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,51.900268,0.020779073
GIB006007004002,https://archive.org/download/GIB006007004002/GIB006007004002.JPG,Sk Grn Colchester BR,image/jpeg,In envelope titled: [SK.GRN].,"Gibson, Adrian, 1931-2006",archaeology,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,51.900268,0.020779073
GIB007003001001,https://archive.org/download/GIB007003001001/GIB007003001001.JPG,Offley View before restoration,image/jpeg,In envelope titled: [Offley].,"Gibson, Adrian, 1931-2006",commercial,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,51.92982,-0.33849612
GIB007003001005,https://archive.org/download/GIB007003001005/GIB007003001005.JPG,Offley Old P.O Looking Up to the Cruck + Crown P.,image/jpeg,In envelope titled: [Offley].,"Gibson, Adrian, 1931-2006",commercial,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,51.92982,-0.33849612
GIB007003001010,https://archive.org/download/GIB007003001010/GIB007003001010.JPG,Offley - Crown Post of Cross Wing,image/jpeg,In envelope titled: [Offley].,"Gibson, Adrian, 1931-2006",commercial,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,51.92982,-0.33849612
GIB007003001015,https://archive.org/download/GIB007003001015/GIB007003001015.JPG,Old P.O Office Offley,image/jpeg,In envelope titled: [Offley].,"Gibson, Adrian, 1931-2006",commercial,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,51.92982,-0.33849612
GIB007003001021,https://archive.org/download/GIB007003001021/GIB007003001021.JPG,Offley Old Ext. Post Office,image/jpeg,In envelope titled: [Offley].,"Gibson, Adrian, 1931-2006",commercial,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,51.92982,-0.33849612
GIB007011001004,https://archive.org/download/GIB007011001004/GIB007011001004.JPG,Great Barton,image/jpeg,In envelope titled: [Gt Barton].,"Gibson, Adrian, 1931-2006",agricultural,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,52.272286,0.76882035
GIB007011001005,https://archive.org/download/GIB007011001005/GIB007011001005.JPG,Great Barton Barn Nr. Bury,image/jpeg,In envelope titled: [Gt Barton].,"Gibson, Adrian, 1931-2006",agricultural,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,52.272286,0.76882035
